title,author,description,genres,rating,numRatings
The Invisibles Book One Deluxe Edition,"Grant Morrison, Clem Robins (Letterer), Annie Parkhouse (Letterer), Steve Yeowell (Illustrator), Chris Weston (Illustrator), John Ridgway (Illustrator), Steve Parkhouse (Illustrator), Duncan Fegredo (Illustrator), more…","One of Grant Morrison's most controversial and trippiest and abstract comic book titles! Follow the adventures of The Invisibles, a secret organization out to battle against physical and psychic oppression brought upon humanity by the interdemsional alien gods of the Archons of Outer Church! Collects THE INVISIBLES #1-12, ABSOLUTE VERTIGO #1.","['Comics', 'Graphic Novels', 'Fantasy', 'Fiction', 'Science Fiction', 'Graphic Novels Comics', 'Comic Book', 'Comix', 'Urban Fantasy', 'Horror']",3.99,993
Laughing Boy: A Navajo Love Story,Oliver La Farge,"Capturing the essence of the Southwest in 1915, Oliver La Farge's Pulitzer Prize-winning first novel is an enduring American classic. At a ceremonial dance, the young, earnest silversmith Laughing Boy falls in love with Slim Girl, a beautiful but elusive ""American""-educated Navajo. As they experience all of the joys and uncertainties of first love, the couple must face a changing way of life and its tragic consequences.","['Fiction', 'Historical Fiction', 'Classics', 'Literature', 'Romance', 'American', 'Historical', 'Literary Fiction', 'Native Americans', 'Westerns']",3.74,3181
White Knight Dom Academy 2nd Semester,Lucian Bane (Goodreads Author),"Lucian gears up to continue teaching his five vanilla couples the art of passion encapsulated in the D/s concept. While his students are busy breaking each other's toes while attempting to master the steps, him, Tara, Steve and Susan must hit the town with their strange and diabolical sex toys. Susan and Tara are pretty confident they can pass it off as artful decor, unique farming tools. household apparatuses, and even possible weapons. But Lucian and Steve are sure they're about to become the biggest adult-toy pushing sex scoundrels of the century.","['BDSM', 'Erotica', 'Romance', 'Humor', 'Erotic Romance', 'Adult Fiction']",4.41,139
Timber Creek,Cameron Judd,"Compared to such Western giants as Max Brand, Luke Short, and Louis L'Amour, he has been called the New Voice of the Old West. With over one million of his books in print, Cameron Judd powerfully brings to life, as no one else can, the struggles of a generation of Americans on a harsh and beautiful frontier.Young Luke McCan came to the gold-rich Black Hills of Dakota seeking his fortune. What he found was Deadwood, a whiskey-soaked, blood-drenched town where trouble was never further away from the next poker game-the kind of trouble that might well have killed him if a stranger hadn't put a bullet in a man gunning for Luke. But older now, and far from Deadwood, fate and his own sense of honor have led McCan down a hard and lonely trail. He's riding into the treacherous Missouri Breaks, vowing to hunt down a notorious, cold-blooded outlaw named Evan Bridger-the very same man who once saved his life...",[],4.33,3
"Jesus, the Final Days: What Really Happened","Craig A. Evans, N.T. Wright","What do history and archaeology have to say about Jesus' death, burial, and resurrection? In this superb book, two of the world's most celebrated writers on the historical Jesus share their greatest findings. Together, Craig A. Evans and N. T. Wright concisely and compellingly convey the drama and the world-shattering significance of Jesus' final days on earth.","['Christianity', 'Theology', 'New Testament', 'Christian', 'Nonfiction', 'Religion', 'History']",4.05,170
Tainted Pictures,Sarah Robinson (Goodreads Author),"The second installment of the bestselling romantic suspense series, The Photographer Trilogy, returns and The Photographer is back with Kate in his crosshairs…will she find out who he is in time to save the one person who matters most? The small, quiet life Kate Jackson had built for herself is over. The Photographer is back, haunting her at every turn with his menacing hints, reminding her that he owns her. Her romance with Derrick Kane is in shreds, their trust destroyed. Everything she’d ever worked for is crumbling through her fingers. But Kate is a fighter and refuses to allow a sadistic killer to take everything from her yet again. She delves into the police investigation targeting The Photographer to finally reveal his true identity, but Kate quickly learns that finding the face behind the mask doesn’t always make you safe.Monsters are only uglier in the light of day. Trigger Warning: Due to violent and dark subject matter, this book is intended for 18+ years old. This book does contain triggers for violence and abuse. This is the second book in a trilogy and ends on a cliffhanger. The next book, Untainted, is available on all retailers.","['New Adult', 'Romance', 'Contemporary Romance', 'Mystery', 'Suspense', 'Crime', 'Mystery Thriller', 'Romantic Suspense', 'Fiction']",4.25,298
"Scott Pilgrim, Volume 2: Scott Pilgrim vs. The World","Bryan Lee O'Malley (Writer, Artist)","Does Scott and Ramona's burgeoning relationship have a future? Isn't Scott still supposedly dating Knives Chau? Who is Ramona's second evil ex-boyfriend, and why is he in Toronto? Who are The Clash At Demonhead, and what kind of bizarre art-punky music do they play? Who's their hot girl keyboardist, and what is Scott's relation to her? Why is The Clash At Demonhead Knives Chau's new favourite band? Fights! Drama! Secrets revealed! The answers to all these questions and more!","['Graphic Novels', 'Comics', 'Fiction', 'Young Adult', 'Graphic Novels Comics', 'Manga', 'Humor', 'Fantasy', 'Romance', 'Comic Book']",4.24,57527
L'instant présent,Guillaume Musso,"Lisa et Arthur n'ont rendez-vous qu'une fois par an.Il passe sa vie à la chercher...... elle passe la sienne à l'attendre.Lisa rêve de devenir comédienne. Pour payer ses études d'art dramatique, elle travaille dans un bar de Manhattan. Un soir, elle fait la connaissance d'Arthur Costello, un jeune médecin urgentiste. Leur complicité est immédiate. Pour le séduire, Lisa est prête à tout. Dans une ville-labyrinthe qui n'offre aucun répit, elle prend tous les risques. Mais Arthur n'est pas un homme comme les autres. Bientôt, il révèle à Lisa la terrible vérité qui lui interdit de l'aimer :"" Ce qui m'arrive est inimaginable, et pourtant bien réel... ""Dans un New York plus imprévisible que jamais, Arthur et Lisa vont lier leur destin pour déjouer les pièges que leur impose le plus impitoyable des ennemis : le temps.Un thriller psychologique vertigineux au final stupéfiant.","['Thriller', 'Fiction', 'Romance', 'France', 'Contemporary', 'Roman', 'Mystery', 'Novels', 'French Literature', 'Fantasy']",3.76,5303
The Aeneid,"Virgil, Robert Fitzgerald (Translator)","The Aeneid – thrilling, terrifying and poignant in equal measure – has inspired centuries of artists, writers and musicians.Part of the Macmillan Collector’s Library; a series of stunning, clothbound, pocket sized classics with gold foiled edges and ribbon markers. These beautiful books make perfect gifts or a treat for any book lover. This edition is translated by J. W. Mackail and has an afterword by Coco Stevenson.Virgil’s epic tale tells the story of Aeneas, a Trojan hero, who flees his city after its fall, with his father Anchises and his young son Ascanius – for Aeneas is destined to found Rome and father the Roman race. As Aeneas journeys closer to his goal, he must first prove his worth and attain the maturity necessary for such an illustrious task. He battles raging storms in the Mediterranean, encounters the fearsome Cyclopes, falls in love with Dido, Queen of Carthage, travels into the Underworld and wages war in Italy.","['Classics', 'Poetry', 'Fiction', 'Mythology', 'Literature', 'School', 'Epic', 'Fantasy', 'Ancient', 'Classic Literature']",3.84,106523
The Sunday Wife,Cassandra King (Goodreads Author),"Married for 20 years to the Reverend Benjamin Lynch, a handsome, ambitious minister of the prestigious Methodist church, Dean Lynch has never quite adjusted her temperament to the demands of the role of a ""Sunday wife."" When her husband is assigned to a larger church, Dean becomes fast friends with Augusta Holderfield, a woman with a secret past whose good looks and extravagant habits immediately entrance Dean --- much to Ben's disgust. As their friendship evolves, Dean begins to break free from her traditional role as the preacher's wife, shocking some of the more staid members of the congregation. Just as Dean is questioning everything she has always valued, a tragedy occurs, providing the catalyst for change in ways she never could have imagined --- and providing a climatic conclusion that resonate with emotional power.","['Fiction', 'Southern', 'Chick Lit', 'Contemporary', 'Romance', 'Adult', 'Womens Fiction', 'Christian Fiction', 'Novels', 'Mystery']",3.78,4603
